운동
머신 체스트 프레스
덤벨 인클라인 벤치 프레스
바벨 벤치 프레스
푸시 업
바벨 인클라인 벤치 프레스
케이블 크로스오버 하이 플라이
케이블 로우 플라이
머신 시티드 딥스
머신 딥스
어시스트 머신 풀 업
풀 업
바벨 로우
덤벌 로우
케이블 시티드 로우
머신 시티드 로우
랫 풀 다운
머신 프리쳐 컬
덤벨 해머 컬
바벨 바이셉 컬
머신 플라이
덤벨 트라이셉스 익스텐션
케이블 트라이셉 푸시 다운
덤벨 스퀴즈 벤치 프레스
바벨 스쿼트
아웃 타이
이너 타이
레그 익스텐션
시티드 레그 컬
레그 프레스
레그 컬
머신 레터럴 레이즈
사이드 레터럴 레이즈
머신 리버스 플라이
케이블 페이스 풀
덤벨 프론트 레이즈
